#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:95 out:96 type:b dur:2 cpbdur:2 q:21.05 aq:17.66 tex:522 mv:275 misc:291 imb:0 pmb:45 smb:465 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:21.02 aq:11.90 tex:26099 mv:848 misc:309 imb:1 pmb:157 smb:352 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:21.03 aq:17.26 tex:1526 mv:629 misc:357 imb:0 pmb:80 smb:430 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:21.04 aq:18.40 tex:1289 mv:357 misc:298 imb:0 pmb:55 smb:455 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:21.03 aq:16.20 tex:631 mv:334 misc:267 imb:0 pmb:46 smb:464 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:20.98 aq:11.59 tex:26791 mv:862 misc:307 imb:1 pmb:161 smb:348 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:21.00 aq:16.76 tex:1306 mv:681 misc:389 imb:0 pmb:79 smb:431 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:21.01 aq:17.36 tex:1172 mv:318 misc:302 imb:0 pmb:51 smb:459 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:20.99 aq:19.11 tex:526 mv:327 misc:307 imb:0 pmb:57 smb:453 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:20.93 aq:10.26 tex:28896 mv:929 misc:311 imb:3 pmb:167 smb:340 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:20.96 aq:15.13 tex:1729 mv:737 misc:358 imb:0 pmb:87 smb:423 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:20.97 aq:18.78 tex:846 mv:325 misc:317 imb:0 pmb:49 smb:461 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:20.94 aq:16.64 tex:673 mv:390 misc:305 imb:0 pmb:56 smb:454 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:20.91 aq:11.28 tex:26000 mv:850 misc:294 imb:0 pmb:169 smb:341 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:20.92 aq:16.11 tex:1764 mv:790 misc:342 imb:0 pmb:98 smb:412 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:20.93 aq:17.17 tex:874 mv:283 misc:291 imb:0 pmb:39 smb:471 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:20.91 aq:12.70 tex:665 mv:291 misc:300 imb:0 pmb:51 smb:459 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:20.92 aq:10.20 tex:25742 mv:898 misc:288 imb:2 pmb:166 smb:342 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:20.91 aq:16.39 tex:2571 mv:720 misc:373 imb:0 pmb:96 smb:414 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:20.91 aq:17.68 tex:490 mv:339 misc:331 imb:0 pmb:49 smb:461 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:20.92 aq:17.15 tex:762 mv:291 misc:291 imb:0 pmb:44 smb:466 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:20.89 aq:10.00 tex:27775 mv:900 misc:285 imb:4 pmb:164 smb:342 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:20.90 aq:16.39 tex:2076 mv:744 misc:364 imb:0 pmb:93 smb:417 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:20.91 aq:17.04 tex:888 mv:446 misc:314 imb:0 pmb:58 smb:452 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:20.90 aq:16.50 tex:721 mv:313 misc:326 imb:0 pmb:48 smb:462 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:20.84 aq:11.33 tex:25922 mv:852 misc:306 imb:2 pmb:157 smb:351 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:20.86 aq:16.60 tex:1595 mv:706 misc:355 imb:0 pmb:86 smb:424 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:20.88 aq:16.23 tex:698 mv:275 misc:283 imb:0 pmb:40 smb:470 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:20.85 aq:15.97 tex:803 mv:314 misc:315 imb:0 pmb:51 smb:459 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:20.84 aq:11.04 tex:25698 mv:943 misc:287 imb:5 pmb:163 smb:342 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:20.84 aq:16.49 tex:1566 mv:704 misc:346 imb:0 pmb:91 smb:419 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:20.84 aq:18.01 tex:826 mv:362 misc:316 imb:0 pmb:54 smb:456 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:20.84 aq:16.27 tex:770 mv:364 misc:322 imb:0 pmb:61 smb:449 d:- ref:0 ;
